timestamp,a,vid,imei,lat,lng,spd,ts,course,ignition,batVolt,extVolt,immobilizeStatus,t
,,,,,,,,,,,,False,
11:28:40,,,,,,,,,,,,False,
11:28:40,notif,188659.0,867440068990746.0,12.921117777777777,77.672225,,1734674319.0,,,,,False,IGNITION ON
11:28:51,ping,188659.0,867440068990746.0,12.92111,77.67222666666666,7.0,1734674330.0,291.0,0.0,4.15,39.38,False,
11:28:51,ping,188659.0,867440068990746.0,12.92111,77.67222666666666,7.0,1734674330.0,291.0,0.0,4.15,39.38,False,
11:28:51,notif,188659.0,867440068990746.0,12.92111,77.67222666666666,,1734674330.0,,,,,False,IGNITION OFF
11:29:10,,,,,,,,,,,,False,
11:29:10,notif,188659.0,867440068990746.0,12.921070555555556,77.672285,,1734674349.0,,,,,False,MOTION SENSED
11:29:10,,,,,,,,,,,,False,
11:36:06,,,,,,,,,,,,False,
11:36:06,notif,188659.0,867440068990746.0,12.92088888888889,77.67250722222222,,1734674761.0,,,,,False,IGNITION ON
11:36:13,,,,,,,,,,,,False,
11:36:13,notif,188659.0,867440068990746.0,12.92088888888889,77.67250722222222,,1734674769.0,,,,,False,IGNITION OFF
11:37:11,,,,,,,,,,,,False,
11:37:11,notif,188659.0,867440068990746.0,12.921063888888888,77.67230333333333,,1734674349.0,,,,,False,IGNITION ON
12:09:54,,,,,,,,,,,,False,
12:09:54,,,,,,,,,,,,False,
12:09:54,notif,188659.0,867440068990746.0,12.921063888888888,77.67230333333333,,1734676621.0,,,,,False,IGNITION ON
12:20:59,,,,,,,,,,,,False,
12:21:08,ping,188659.0,867440068990746.0,12.919997222222223,77.67202,8.0,1734677467.0,21.0,1.0,4.15,36.53,False,
12:21:08,ping,188659.0,867440068990746.0,12.92002,77.67203111111112,11.0,1734677467.0,29.0,1.0,4.15,36.53,False,
12:21:15,,,,,,,,,,,,False,
12:21:16,,,,,,,,,,,,False,
12:21:17,,,,,,,,,,,,False,
12:21:32,ping,188659.0,867440068990746.0,12.92007,77.67235722222222,9.0,1734677490.0,76.0,1.0,4.15,36.53,False,
12:21:40,,,,,,,,,,,,False,
12:21:40,,,,,,,,,,,,False,
12:21:48,,,,,,,,,,,,False,
12:21:48,,,,,,,,,,,,False,
12:22:07,,,,,,,,,,,,False,
12:22:07,,,,,,,,,,,,False,
12:22:08,,,,,,,,,,,,False,
12:22:10,,,,,,,,,,,,False,
12:22:11,ping,188659.0,867440068990746.0,12.92127,77.67235833333334,8.0,1734677531.0,151.0,1.0,4.15,36.53,False,
